node_id,lat,lon,alt
YB,42.188126,2.47097,433.10547
ESPVA4600000046870C,38.822227,-0.60722196,350.09766
ESCAT4300000043365A,41.207497,0.9647218,410.64453
ESCAT4300000043364B,41.312218,0.9875001,944.8242
ESCAT0800000008560A,42.00139,2.2902777,459.96094
YC,42.243877,0.96801984,508.30078
fibran,42.225796,2.2592535,740.2344
refugiestaon,42.587524,1.2108968,1257.8125
fap,41.58139,1.6208329,312.98828
caljando,41.51972,1.2927779,705.0781
canpepespinavell,42.37805,2.399167,1350.0977
osseja,42.416107,1.9808327,1247.5586
fontanera,42.45999,1.8399999,1799.8047
ermita,42.057213,3.133493,160.15625
meteofiguerola,42.132595,0.99625003,553.22266
ea3ads,42.36667,3.1525,3.90625
mbenazet,42.464996,1.9819436,1224.6094
planes,42.029808,0.11857198,340.8203
angel,41.883053,3.1272223,48.339844
santmarti,42.015118,2.5474973,814.9414
spares1964,42.217377,2.1643603,721.1914
rpedrerol,41.71819,2.0653226,729.98047
monistrolcalders,41.760555,2.0141668,446.77734
tilldrop,41.699924,2.1993575,314.45312
santpaucentelles,41.77513,2.241286,500.0
granauix,41.624744,2.0193813,689.9414
lestany,41.868298,2.1116326,870.1172
alosdebalaguer,41.913612,0.96222204,297.36328
alvaclleida,41.42472,1.0211112,578.125
mequinenza,41.29799,0.3014803,276.3672
casatofol,42.59555,1.0976458,1750.0
utopia66hd,42.694233,2.888181,39.0625
ajbanyoles,42.11913,2.7652123,169.4336
ajpalol,42.071938,2.7972217,151.85547
elsolanot,42.04081,2.5073073,945.3125
meteobescano,41.963097,2.7384925,103.515625
meteocanco,41.96829,2.6207356,166.5039
santsadurni,41.903606,2.3825,525.8789
valladonafruits,41.41479,0.38705346,168.94531
57MP,42.568893,1.2313892,904.78516
ESCAT4300000043003B,41.116108,1.2650001,29.296875
ESCAT0800000008519A,41.95138,2.325833,522.9492
ESCAT0800000008519B,41.95222,2.3266668,535.64453
ESCAT1700000017770B,42.223606,2.927222,73.24219
ESCAT1700000017455A,41.480503,2.5105,154.78516
ESCAT1700000017240F,41.4945,2.5336,129.88281
rocabruna,42.33813,2.45051,970.7031
santjoandespi,41.36679,2.057035,9.765625
meteoalp,42.37528,1.8886111,1158.2031
greixer,42.41271,1.8243262,1339.8438
xgallart,42.37805,2.399167,1350.0977
javier,42.366997,1.8592899,1160.1562
ecoserveis,41.764004,1.4821137,620.1172
YD,41.511345,0.85616994,283.20312
YF,41.02001,0.9347398,513.1836
ESPVA4600000046701B,38.97472,-0.18027799,23.925781
YG,42.51881,1.24244,954.10156
58MP,42.53083,1.0138888,2470.2148
ESCAT0800000008350C,41.584164,2.5466669,41.992188
ESCAT0800000008693A,42.00111,1.848056,613.28125
ESCAT0800000008860C,41.267506,1.9349997,61.523438
ESCAT0800000008980C,41.381107,2.0427783,59.08203
ESCAT0800000008770B,41.44166,1.7830558,197.7539
ESCAT0800000008505B,41.912224,2.1888893,584.47266
ESCAT1700000017400A,41.748886,2.560833,165.03906
ESCAT1700000017486A,42.280834,3.0708327,19.042969
ESCAT1700000017722A,42.369442,2.8305557,198.24219
ESCAT1700000017405A,41.868885,2.4155557,750.0
ESCAT4300000043413A,41.50333,1.1866668,779.78516
ESCAT4300000043120A,41.15472,1.2136109,70.80078
ESCAT4300000043144A,41.258602,1.2474998,205.07812
ESCAT0800000008035C,41.429996,2.1430557,169.92188
